-----------------------------------------------------------------------------------------------------------------------
- Bench VeraCrypt
- Started at: 2022-11-08  8:49:35
- CPU: AMD FX(tm)-6300 Six-Core Processor
-----------------------------------------------------------------------------------------------------------------------
SIZE       | HASH       | ENCRYPTION ALGORITHM           | VOL CREATE TIME      | VOL FILL TIME        | SPEED (MB/sec)
200 MB     | SHA-512    | Camellia                       |  0m7.393s            |  0m1.604s            | 87
200 MB     | SHA-512    | Kuznyechik                     |  0m7.490s            |  0m1.550s            | 87
200 MB     | SHA-512    | Serpent                        |  0m7.030s            |  0m1.562s            | 87
200 MB     | SHA-512    | Twofish                        |  0m7.297s            |  0m1.567s            | 87
200 MB     | SHA-512    | AES-Twofish                    |  0m7.176s            |  0m1.455s            | 175
200 MB     | SHA-512    | AES-Twofish-Serpent            |  0m7.150s            |  0m1.299s            | 175
200 MB     | SHA-512    | Camellia-Kuznyechik            |  0m7.123s            |  0m1.300s            | 175
200 MB     | SHA-512    | Camellia-Serpent               |  0m7.260s            |  0m7.964s            | 21
200 MB     | SHA-512    | Kuznyechik-AES                 |  0m6.061s            |  0m1.257s            | 175
200 MB     | SHA-512    | Kuznyechik-Serpent-Camellia    |  0m6.750s            |  0m1.273s            | 175
200 MB     | SHA-512    | Kuznyechik-Twofish             |  0m7.055s            |  0m1.237s            | 175
200 MB     | SHA-512    | Serpent-AES                    |  0m5.966s            |  0m1.275s            | 175
200 MB     | SHA-512    | Serpent-Twofish-AES            |  0m6.469s            |  0m1.291s            | 175
200 MB     | SHA-512    | Twofish-Serpent                |  0m6.663s            |  0m11.700s           | 15
200 MB     | Whirlpool  | AES                            |  0m9.573s            |  0m5.730s            | 29
200 MB     | Whirlpool  | Camellia                       |  0m10.205s           |  0m6.537s            | 29
200 MB     | Whirlpool  | Kuznyechik                     |  0m9.963s            |  0m1.501s            | 175
200 MB     | Whirlpool  | Serpent                        |  0m10.650s           |  0m1.469s            | 87
200 MB     | Whirlpool  | Twofish                        |  0m10.078s           |  0m15.867s           | 10
200 MB     | Whirlpool  | AES-Twofish                    |  0m9.270s            |  0m1.412s            | 87
200 MB     | Whirlpool  | AES-Twofish-Serpent            |  0m11.312s           |  0m1.395s            | 175
200 MB     | Whirlpool  | Camellia-Kuznyechik            |  0m10.766s           |  0m1.522s            | 87
200 MB     | Whirlpool  | Camellia-Serpent               |  0m9.770s            |  0m1.339s            | 175
200 MB     | Whirlpool  | Kuznyechik-AES                 |  0m11.118s           |  0m1.697s            | 87
200 MB     | Whirlpool  | Kuznyechik-Serpent-Camellia    |  0m12.094s           |  0m1.345s            | 175
200 MB     | Whirlpool  | Kuznyechik-Twofish             |  0m9.456s            |  0m12.498s           | 13
200 MB     | Whirlpool  | Serpent-AES                    |  0m8.583s            |  0m24.833s           | 7
200 MB     | Whirlpool  | Serpent-Twofish-AES            |  0m9.437s            |  0m17.304s           | 9
200 MB     | Whirlpool  | Twofish-Serpent                |  0m9.238s            |  0m21.291s           | 8
200 MB     | Streebog   | AES                            |  0m26.239s           |  0m17.284s           | 10
200 MB     | Streebog   | Camellia                       |  0m26.786s           |  0m10.957s           | 15
200 MB     | Streebog   | Kuznyechik                     |  0m26.005s           |  0m21.721s           | 8
200 MB     | Streebog   | Serpent                        |  0m24.559s           |  0m1.477s            | 87
200 MB     | Streebog   | Twofish                        |  0m26.709s           |  0m1.565s            | 87
200 MB     | Streebog   | AES-Twofish                    |  0m26.805s           |  0m12.884s           | 13
200 MB     | Streebog   | AES-Twofish-Serpent            |  0m26.557s           |  1m15.589s           | 2
200 MB     | Streebog   | Camellia-Kuznyechik            |  0m28.407s           |  0m21.885s           | 7
200 MB     | Streebog   | Camellia-Serpent               |  0m28.382s           |  0m1.565s            | 175
200 MB     | Streebog   | Kuznyechik-AES                 |  0m28.504s           |  0m24.183s           | 7
200 MB     | Streebog   | Kuznyechik-Serpent-Camellia    |  0m26.194s           |  0m9.281s            | 19
200 MB     | Streebog   | Kuznyechik-Twofish             |  0m27.887s           |  0m19.177s           | 9
200 MB     | Streebog   | Serpent-AES                    |  0m28.033s           |  0m1.374s            | 87
200 MB     | Streebog   | Serpent-Twofish-AES            |  0m24.891s           |  0m1.329s            | 87
200 MB     | Streebog   | Twofish-Serpent                |  0m24.805s           |  0m1.315s            | 87
500 MB     | SHA-256    | AES                            |  0m12.313s           |  0m4.575s            | 118
500 MB     | SHA-256    | Camellia                       |  0m13.396s           |  0m3.240s            | 158
500 MB     | SHA-256    | Kuznyechik                     |  0m13.274s           |  0m3.512s            | 158
500 MB     | SHA-256    | Serpent                        |  0m13.630s           |  2m12.057s           | 3
500 MB     | SHA-256    | Twofish                        |  0m13.273s           |  3m4.385s            | 2
500 MB     | SHA-256    | AES-Twofish                    |  0m14.631s           |  0m13.059s           | 36
500 MB     | SHA-256    | AES-Twofish-Serpent            |  0m12.932s           |  0m3.054s            | 158
500 MB     | SHA-256    | Camellia-Kuznyechik            |  0m14.267s           |  0m3.116s            | 158
500 MB     | SHA-256    | Camellia-Serpent               |  0m13.725s           |  0m15.026s           | 29
500 MB     | SHA-256    | Kuznyechik-AES                 |  0m13.140s           |  0m3.073s            | 158
500 MB     | SHA-256    | Kuznyechik-Serpent-Camellia    |  0m15.554s           |  0m3.116s            | 158
500 MB     | SHA-256    | Kuznyechik-Twofish             |  0m13.719s           |  0m3.039s            | 158
500 MB     | SHA-256    | Serpent-AES                    |  0m14.061s           |  0m3.205s            | 158
500 MB     | SHA-256    | Serpent-Twofish-AES            |  0m13.801s           |  0m3.032s            | 158
500 MB     | SHA-256    | Twofish-Serpent                |  0m13.973s           |  0m3.118s            | 158
500 MB     | RIPEMD-160 | AES                            |  0m16.354s           |  0m14.748s           | 31
500 MB     | RIPEMD-160 | Camellia                       |  0m17.824s           |  0m3.066s            | 158
500 MB     | RIPEMD-160 | Kuznyechik                     |  0m17.617s           |  0m3.246s            | 158
500 MB     | RIPEMD-160 | Serpent                        |  0m17.371s           |  0m3.016s            | 158
500 MB     | RIPEMD-160 | Twofish                        |  0m17.425s           |  0m3.046s            | 158
500 MB     | RIPEMD-160 | AES-Twofish                    |  0m17.500s           |  0m3.072s            | 158
500 MB     | RIPEMD-160 | AES-Twofish-Serpent            |  0m18.453s           |  0m15.442s           | 31
500 MB     | RIPEMD-160 | Camellia-Kuznyechik            |  0m18.248s           |  0m3.112s            | 158
500 MB     | RIPEMD-160 | Camellia-Serpent               |  0m18.682s           |  0m3.088s            | 158
500 MB     | RIPEMD-160 | Kuznyechik-AES                 |  0m17.916s           |  0m3.217s            | 158
500 MB     | RIPEMD-160 | Kuznyechik-Serpent-Camellia    |  0m19.280s           |  0m7.064s            | 67
500 MB     | RIPEMD-160 | Kuznyechik-Twofish             |  0m17.903s           |  0m3.124s            | 158
500 MB     | RIPEMD-160 | Serpent-AES                    |  0m17.427s           |  0m3.081s            | 158
500 MB     | RIPEMD-160 | Serpent-Twofish-AES            |  0m19.808s           |  0m3.306s            | 158
500 MB     | RIPEMD-160 | Twofish-Serpent                |  0m18.168s           |  0m18.192s           | 26
500 MB     | SHA-512    | AES                            |  0m10.822s           |  0m3.464s            | 158
500 MB     | SHA-512    | Camellia                       |  0m12.219s           |  0m3.123s            | 118
500 MB     | SHA-512    | Kuznyechik                     |  0m12.769s           |  0m3.682s            | 158
500 MB     | SHA-512    | Serpent                        |  0m18.848s           |  0m3.398s            | 158
500 MB     | SHA-512    | Twofish                        |  0m12.204s           |  0m3.658s            | 118
500 MB     | SHA-512    | AES-Twofish                    |  0m11.187s           |  0m3.206s            | 158
500 MB     | SHA-512    | AES-Twofish-Serpent            |  0m12.338s           |  0m3.307s            | 158
500 MB     | SHA-512    | Camellia-Kuznyechik            |  0m12.586s           |  0m3.116s            | 158
500 MB     | SHA-512    | Camellia-Serpent               |  0m12.575s           |  0m3.213s            | 158
500 MB     | SHA-512    | Kuznyechik-AES                 |  0m13.122s           |  0m3.370s            | 118
500 MB     | SHA-512    | Kuznyechik-Serpent-Camellia    |  0m14.151s           |  0m3.234s            | 118
500 MB     | SHA-512    | Kuznyechik-Twofish             |  0m12.464s           |  0m3.131s            | 158
500 MB     | SHA-512    | Serpent-AES                    |  0m11.535s           |  0m3.101s            | 158
500 MB     | SHA-512    | Serpent-Twofish-AES            |  0m14.408s           |  0m3.445s            | 158
500 MB     | SHA-512    | Twofish-Serpent                |  0m13.539s           |  0m3.415s            | 118
500 MB     | Whirlpool  | AES                            |  0m13.360s           |  0m17.188s           | 27
500 MB     | Whirlpool  | Camellia                       |  0m13.740s           |  0m3.054s            | 158
500 MB     | Whirlpool  | Kuznyechik                     |  0m14.843s           |  0m3.043s            | 158
500 MB     | Whirlpool  | Serpent                        |  0m14.027s           |  0m3.100s            | 158
500 MB     | Whirlpool  | Twofish                        |  0m13.306s           |  0m3.011s            | 158
500 MB     | Whirlpool  | AES-Twofish                    |  0m14.082s           |  0m3.098s            | 158
500 MB     | Whirlpool  | AES-Twofish-Serpent            |  0m15.271s           |  0m8.751s            | 52
500 MB     | Whirlpool  | Camellia-Kuznyechik            |  0m15.166s           |  0m3.082s            | 158
500 MB     | Whirlpool  | Camellia-Serpent               |  0m14.590s           |  0m3.107s            | 158
500 MB     | Whirlpool  | Kuznyechik-AES                 |  0m14.975s           |  0m3.187s            | 158
500 MB     | Whirlpool  | Kuznyechik-Serpent-Camellia    |  0m16.003s           |  0m3.088s            | 158
500 MB     | Whirlpool  | Kuznyechik-Twofish             |  0m15.687s           |  0m3.013s            | 158
500 MB     | Whirlpool  | Serpent-AES                    |  0m13.686s           |  0m2.984s            | 158
